name	old_url	reason	final_url
Carl M. Allen, Jr.	https://camellia.iflora.cn/Cutivars/Detail?latin=Carl%20M.%20Allen%2C%20Jr.	redirect_404	https://camellia.iflora.cn/Error/Error404
Carlton Lacour	https://camellia.iflora.cn/Cutivars/Detail?latin=Carlton%20Lacour	redirect_404	https://camellia.iflora.cn/Error/Error404
Carlton Lacour Variegated	https://camellia.iflora.cn/Cutivars/Detail?latin=Carlton%20Lacour%20Variegated	redirect_404	https://camellia.iflora.cn/Error/Error404
Carol Bettes	https://camellia.iflora.cn/Cutivars/Detail?latin=Carol%20Bettes	redirect_404	https://camellia.iflora.cn/Error/Error404
Carol Humphrey	https://camellia.iflora.cn/Cutivars/Detail?latin=Carol%20Humphrey	redirect_404	https://camellia.iflora.cn/Error/Error404
Carrie Lou	https://camellia.iflora.cn/Cutivars/Detail?latin=Carrie%20Lou	redirect_404	https://camellia.iflora.cn/Error/Error404
Carroll Lennard	https://camellia.iflora.cn/Cutivars/Detail?latin=Carroll%20Lennard	redirect_404	https://camellia.iflora.cn/Error/Error404
Caw	https://camellia.iflora.cn/Cutivars/Detail?latin=Caw	redirect_404	https://camellia.iflora.cn/Error/Error404
Cecil Rogers	https://camellia.iflora.cn/Cutivars/Detail?latin=Cecil%20Rogers	redirect_404	https://camellia.iflora.cn/Error/Error404
Cecile Brunazzi Variegated	https://camellia.iflora.cn/Cutivars/Detail?latin=Cecile%20Brunazzi%20Variegated	redirect_404	https://camellia.iflora.cn/Error/Error404
Celeste G	https://camellia.iflora.cn/Cutivars/Detail?latin=Celeste%20G	redirect_404	https://camellia.iflora.cn/Error/Error404
Celina Vaughan	https://camellia.iflora.cn/Cutivars/Detail?latin=Celina%20Vaughan	redirect_404	https://camellia.iflora.cn/Error/Error404
Celina Vaughan Red	https://camellia.iflora.cn/Cutivars/Detail?latin=Celina%20Vaughan%20Red	redirect_404	https://camellia.iflora.cn/Error/Error404
Chang's Temple	https://camellia.iflora.cn/Cutivars/Detail?latin=Chang%27s%20Temple	redirect_404	https://camellia.iflora.cn/Error/Error404
Charles F. Holden	https://camellia.iflora.cn/Cutivars/Detail?latin=Charles%20F.%20Holden	redirect_404	https://camellia.iflora.cn/Error/Error404
Charles F. O'Malley	https://camellia.iflora.cn/Cutivars/Detail?latin=Charles%20F.%20O%27Malley	redirect_404	https://camellia.iflora.cn/Error/Error404
Charles Minarik	https://camellia.iflora.cn/Cutivars/Detail?latin=Charles%20Minarik	redirect_404	https://camellia.iflora.cn/Error/Error404
Charley V	https://camellia.iflora.cn/Cutivars/Detail?latin=Charley%20V	redirect_404	https://camellia.iflora.cn/Error/Error404
Chee-Ree	https://camellia.iflora.cn/Cutivars/Detail?latin=Chee-Ree	redirect_404	https://camellia.iflora.cn/Error/Error404
Cherries O'Toole	https://camellia.iflora.cn/Cutivars/Detail?latin=Cherries%20O%27Toole	redirect_404	https://camellia.iflora.cn/Error/Error404
Cho-Cho-San	https://camellia.iflora.cn/Cutivars/Detail?latin=Cho-Cho-San	redirect_404	https://camellia.iflora.cn/Error/Error404
Cho-No-Hanagata (Butterfly Flower Form)	https://camellia.iflora.cn/Cutivars/Detail?latin=Cho-No-Hanagata%20%28Butterfly%20Flower%20Form%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Choji Guruma	https://camellia.iflora.cn/Cutivars/Detail?latin=Choji%20Guruma	redirect_404	https://camellia.iflora.cn/Error/Error404
Choju-Raku	https://camellia.iflora.cn/Cutivars/Detail?latin=Choju-Raku	redirect_404	https://camellia.iflora.cn/Error/Error404
Chongjei	https://camellia.iflora.cn/Cutivars/Detail?latin=Chongjei	redirect_404	https://camellia.iflora.cn/Error/Error404
Chris Bergamini Red	https://camellia.iflora.cn/Cutivars/Detail?latin=Chris%20Bergamini%20Red	redirect_404	https://camellia.iflora.cn/Error/Error404
Chrysanthemum Petal	https://camellia.iflora.cn/Cutivars/Detail?latin=Chrysanthemum%20Petal	redirect_404	https://camellia.iflora.cn/Error/Error404
Chujohaku	https://camellia.iflora.cn/Cutivars/Detail?latin=Chujohaku	redirect_404	https://camellia.iflora.cn/Error/Error404
Chujoshiro	https://camellia.iflora.cn/Cutivars/Detail?latin=Chujoshiro	redirect_404	https://camellia.iflora.cn/Error/Error404
Chuxiong Gold	https://camellia.iflora.cn/Cutivars/Detail?latin=Chuxiong%20Gold	redirect_404	https://camellia.iflora.cn/Error/Error404
Chûjôhaku	https://camellia.iflora.cn/Cutivars/Detail?latin=Ch%C3%BBj%C3%B4haku	redirect_404	https://camellia.iflora.cn/Error/Error404
Chûjôshiro	https://camellia.iflora.cn/Cutivars/Detail?latin=Ch%C3%BBj%C3%B4shiro	redirect_404	https://camellia.iflora.cn/Error/Error404
Circus	https://camellia.iflora.cn/Cutivars/Detail?latin=Circus	redirect_404	https://camellia.iflora.cn/Error/Error404
Clarence O. Neighbors	https://camellia.iflora.cn/Cutivars/Detail?latin=Clarence%20O.%20Neighbors	redirect_404	https://camellia.iflora.cn/Error/Error404
Cleo Akins	https://camellia.iflora.cn/Cutivars/Detail?latin=Cleo%20Akins	redirect_404	https://camellia.iflora.cn/Error/Error404
Cloisonne	https://camellia.iflora.cn/Cutivars/Detail?latin=Cloisonne	redirect_404	https://camellia.iflora.cn/Error/Error404
Cocoanut Ice	https://camellia.iflora.cn/Cutivars/Detail?latin=Cocoanut%20Ice	redirect_404	https://camellia.iflora.cn/Error/Error404
Col. R. D. Hicks	https://camellia.iflora.cn/Cutivars/Detail?latin=Col.%20R.%20D.%20Hicks	redirect_404	https://camellia.iflora.cn/Error/Error404
Colin J Garrett	https://camellia.iflora.cn/Cutivars/Detail?latin=Colin%20J%20Garrett	redirect_404	https://camellia.iflora.cn/Error/Error404
Colonel L. E. Edwards	https://camellia.iflora.cn/Cutivars/Detail?latin=Colonel%20L.%20E.%20Edwards	redirect_404	https://camellia.iflora.cn/Error/Error404
Coral Castle	https://camellia.iflora.cn/Cutivars/Detail?latin=Coral%20Castle	redirect_404	https://camellia.iflora.cn/Error/Error404
Coralie Bland Miler	https://camellia.iflora.cn/Cutivars/Detail?latin=Coralie%20Bland%20Miler	redirect_404	https://camellia.iflora.cn/Error/Error404
Cornelian	https://camellia.iflora.cn/Cutivars/Detail?latin=Cornelian	redirect_404	https://camellia.iflora.cn/Error/Error404
Cornelian Chrysanthemum Petal	https://camellia.iflora.cn/Cutivars/Detail?latin=Cornelian%20Chrysanthemum%20Petal	redirect_404	https://camellia.iflora.cn/Error/Error404
Cornelian Purple Gown	https://camellia.iflora.cn/Cutivars/Detail?latin=Cornelian%20Purple%20Gown	redirect_404	https://camellia.iflora.cn/Error/Error404
Cottontail	https://camellia.iflora.cn/Cutivars/Detail?latin=Cottontail	redirect_404	https://camellia.iflora.cn/Error/Error404
